VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,trip_duration,trip_duration_minutes,time_category,Shape_Leng,Shape_Area,zone,LocationID,borough,lat,lng
2,2022-02-18 09:50:59,2022-02-18 10:05:59,N,1.0,130,132,1.0,4.75,16.5,0.0,0.5,2.5,0.0,,0.3,19.8,1.0,1.0,0.0,0 days 00:15:00,15.0,morning,0.142028320665,0.000468322514327,Jamaica,130,Queens,40.70327388330144,-73.80034752467984
2,2022-02-17 12:18:19,2022-02-17 12:34:49,N,1.0,244,239,1.0,5.27,18.0,0.0,0.5,4.31,0.0,,0.3,25.86,1.0,1.0,2.75,0 days 00:16:30,16.5,afternoon,0.0805686044599,0.000359702747951,Washington Heights South,244,Manhattan,40.84121866986656,-73.94166681405747
2,2022-02-05 12:10:04,2022-02-05 12:13:30,N,1.0,75,75,1.0,0.44,4.0,0.0,0.5,0.34,0.0,,0.3,5.14,1.0,1.0,0.0,0 days 00:03:26,3.433333333333333,afternoon,0.0876638997685,0.00024056392715,East Harlem South,75,Manhattan,40.790650159764766,-73.94495666768462
2,2022-02-12 23:11:37,2022-02-12 23:18:37,N,1.0,7,223,1.0,1.54,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,2.0,1.0,0.0,0 days 00:07:00,7.0,evening,0.107417171123,0.000389787989274,Astoria,7,Queens,40.76108472915124,-73.92149056694653
2,2022-02-22 17:44:02,2022-02-22 17:48:58,N,1.0,75,42,2.0,1.45,6.0,1.0,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,0.0,0 days 00:04:56,4.933333333333334,afternoon,0.0876638997685,0.00024056392715,East Harlem South,75,Manhattan,40.790650159764766,-73.94495666768462
2,2022-02-12 00:17:12,2022-02-12 00:37:08,N,1.0,145,107,1.0,4.69,17.0,0.5,0.5,0.0,0.0,,0.3,21.05,1.0,1.0,2.75,0 days 00:19:56,19.933333333333334,night,0.114313844981,0.000346641733797,Long Island City/Hunters Point,145,Queens,40.74658996790376,-73.9486991918172
2,2022-02-04 08:22:04,2022-02-04 08:33:28,N,1.0,138,82,1.0,3.54,12.5,0.0,0.5,0.0,0.0,,0.3,13.3,2.0,1.0,0.0,0 days 00:11:24,11.4,morning,0.107466933508,0.000536797294367,LaGuardia Airport,138,Queens,40.77486738951802,-73.8728037146871
2,2022-02-10 15:11:07,2022-02-10 15:26:27,N,1.0,166,74,1.0,1.48,10.5,0.0,0.5,0.0,0.0,,0.3,11.3,2.0,1.0,0.0,0 days 00:15:20,15.333333333333334,afternoon,0.0688237542871,0.000255276270405,Morningside Heights,166,Manhattan,40.80957022827245,-73.96181526438258
2,2022-02-05 16:40:37,2022-02-05 16:57:04,N,1.0,75,48,1.0,4.56,16.5,0.0,0.5,4.01,0.0,,0.3,24.06,1.0,1.0,2.75,0 days 00:16:27,16.45,afternoon,0.0876638997685,0.00024056392715,East Harlem South,75,Manhattan,40.790650159764766,-73.94495666768462
2,2022-02-06 19:53:17,2022-02-06 20:01:11,N,1.0,41,74,1.0,1.06,7.0,0.0,0.5,1.95,0.0,,0.3,9.75,1.0,1.0,0.0,0 days 00:07:54,7.9,evening,0.052793109453,0.000143093037737,Central Harlem,41,Manhattan,40.80420482862898,-73.95206533089232
